Condition,Test,RPM_RMSE [RPM],RPM_Mean [RPM],RPM_Std [RPM],Acc_RMSE [RPM/s],Acc_Mean [RPM/s],Acc_Std [RPM/s],3sigma_coverage [%]
4000RPM,test1,13.722397,0.551247,13.711320,86.160262,0.002639,86.160262,32.73
4000RPM,test2,10.887388,0.709386,10.864253,81.677994,0.073546,81.677960,33.70
4000RPM,test3,12.150622,0.478358,12.141202,84.018896,0.106985,84.018828,32.21
4000RPM,test4,11.017226,0.671951,10.996716,82.125925,0.995636,82.119889,31.80
4000RPM,test5,11.097759,0.569774,11.083123,83.194980,0.785048,83.191276,31.70
4000RPM,Pooled,11.883394,0.595568,11.868460,83.522473,0.374350,83.521634,32.43
5000RPM,test1,12.911417,0.638548,12.895617,91.955787,-0.831302,91.952029,30.61
5000RPM,test2,6.283698,0.172618,6.281326,80.738318,0.384354,80.737404,33.84
5000RPM,test3,11.125736,1.219592,11.058689,95.978997,-0.106189,95.978938,30.01
5000RPM,test4,13.431170,0.944130,13.397945,93.192058,0.012638,93.192057,30.63
5000RPM,test5,13.583234,0.358393,13.578505,99.289040,0.091841,99.288997,32.26
5000RPM,Pooled,11.762314,0.644944,11.744619,92.426554,-0.078566,92.426521,31.47
Overall,Pooled,11.840394,0.613161,11.824507,86.798657,0.213033,86.798395,31.95
