Condition,Test,RPM_RMSE,RPM_3sigma%,Acc_3sigma%,Vel_Fit_RMSE,Vel_Fit_A,Vel_Fit_f,Acc_Fit_RMSE,Acc_Fit_A,Acc_Fit_f
4000RPM,test1,6.2037,99.4,94.3,6.3316,993.3,0.5000,92.6620,3594.6,0.5001
4000RPM,test2,4.3090,100.0,99.9,6.3949,992.9,0.5000,93.4024,3414.6,0.5000
4000RPM,test3,4.2126,100.0,100.0,6.4990,992.6,0.5000,92.7245,3408.1,0.4998
4000RPM,test4,5.2200,100.0,99.4,6.3201,993.6,0.5000,92.2901,3481.5,0.4999
4000RPM,test5,6.0722,100.0,97.2,6.3480,993.8,0.5000,96.2443,3545.2,0.5000
5000RPM,test1,3.6484,100.0,100.0,6.3890,975.5,0.5000,74.0278,3312.9,0.4993
5000RPM,test2,3.2835,100.0,100.0,6.2641,977.7,0.4999,78.9715,3302.0,0.4994
5000RPM,test3,5.2460,98.8,96.3,8.5982,972.8,0.4988,128.3567,3425.7,0.4990
5000RPM,test4,3.8826,100.0,99.9,6.2420,975.7,0.5000,80.8185,3342.0,0.4998
5000RPM,test5,5.1677,99.2,96.3,8.9405,972.0,0.4997,106.8888,3436.4,0.5001
